ID,WBS,Outline Level,Task Name,Start,Finish,Duration,Predecessors,Resource Names,Notes
1,1,1,Fase de Inicio,2026-03-14,2026-04-03,21d,,Equipo de proyecto,Fase RUP para definición inicial
2,1.1,2,Inicio del proyecto y definición del alcance,2026-03-14,2026-03-17,4d,,Analista,Kickoff y delimitación del proyecto
3,1.2,2,Planteamiento del problema,2026-03-18,2026-03-20,3d,2,Analista,Documentar problemática y situación actual
4,1.3,2,"Justificación, objetivos e hipótesis",2026-03-23,2026-03-27,5d,3,Analista,Redacción de fundamentos del proyecto
5,1.4,2,Identificación de actores y alcance funcional,2026-03-30,2026-03-31,2d,4,Analista,Actores del sistema y módulos principales
6,1.5,2,Documento de visión y alcance RUP,2026-04-01,2026-04-03,3d,5,Analista,Cierre de fase de inicio
7,2,1,Fase de Elaboración,2026-04-06,2026-05-15,40d,6,Equipo de proyecto,"Análisis, diseño base y arquitectura"
8,2.1,2,Levantamiento de requerimientos por módulo,2026-04-06,2026-04-10,5d,6,Analista,Requerimientos estilo DERCAS
9,2.2,2,Diseño de arquitectura general,2026-04-13,2026-04-17,5d,8,Arquitecto / Desarrollador,"Frontend, backend, BD y servicio OCR"
10,2.3,2,Diseño del modelo de datos general,2026-04-20,2026-04-24,5d,9,DBA / Desarrollador,Entidades principales del sistema
11,2.4,2,Diseño de prototipos y navegación base,2026-04-27,2026-05-01,5d,10,Frontend,"Layout, rutas, sidebar y pantallas base"
12,2.5,2,Análisis de factibilidad y riesgos,2026-05-04,2026-05-08,5d,11,Analista,"Técnica, operativa, económica y legal"
13,2.6,2,Plan iterativo de construcción,2026-05-11,2026-05-15,5d,12,Equipo de proyecto,Definición de iteraciones RUP
14,3,1,Fase de Construcción,2026-05-18,2026-09-25,131d,13,Equipo de desarrollo,Desarrollo incremental de módulos
15,3.1,2,Iteración I - Módulo de Usuarios y Seguridad,2026-05-18,2026-06-05,19d,13,Backend / Frontend,"Autenticación, roles y permisos"
16,3.1.1,3,"Backend de autenticación, usuarios y permisos",2026-05-18,2026-05-26,9d,13,Backend,"AuthController, UsersService, RolesService"
17,3.1.2,3,"Frontend de login, usuarios y matriz de accesos",2026-05-27,2026-06-02,7d,16,Frontend,Pantallas protegidas y menú por permisos
18,3.1.3,3,Pruebas del módulo de seguridad,2026-06-03,2026-06-05,3d,17,QA,"Login, rutas protegidas y permisos"
19,3.2,2,Iteración II - Módulo de Solicitudes de Gasto,2026-06-08,2026-06-26,19d,18,Backend / Frontend,"Solicitud, ítems y cálculo de total"
20,3.2.1,3,Diseño y desarrollo de formularios de solicitud,2026-06-08,2026-06-15,8d,18,Frontend,"Listado, nueva solicitud y detalle"
21,3.2.2,3,Servicios backend y reglas de solicitudes,2026-06-16,2026-06-23,8d,20,Backend,"DTOs, servicios y persistencia"
22,3.2.3,3,Pruebas de solicitudes de gasto,2026-06-24,2026-06-26,3d,21,QA,"Creación, edición y envío a aprobación"
